1.1 -0.3 -0.0
1.2 -0.5 -0.0
1.4 -0.7 -0.1
1.5 -0.9 -0.1
1.7 -1.1 -0.1
1.8 -1.3 -0.1
2.0 -1.5 -0.1
2.1 -1.7 -0.1
2.3 -1.9 -0.2
2.4 -2.1 -0.2
2.6 -2.3 -0.2
2.7 -2.5 -0.2
2.9 -2.7 -0.2
3.0 -2.9 -0.3
3.2 -3.1 -0.3
3.3 -3.3 -0.3
3.5 -3.5 -0.3
3.6 -3.7 -0.4
3.8 -3.8 -0.4
3.9 -4.0 -0.4
4.0 -4.2 -0.5
4.2 -4.4 -0.5
4.3 -4.6 -0.5
4.4 -4.8 -0.5
4.5 -4.9 -0.6
4.6 -5.1 -0.6
4.7 -5.3 -0.6
4.8 -5.5 -0.7
5.0 -5.6 -0.7
5.1 -5.8 -0.8
5.2 -6.0 -0.8
5.3 -6.1 -0.8
5.4 -6.3 -0.9
5.5 -6.4 -0.9
5.6 -6.6 -0.9
5.7 -6.8 -1.0
5.8 -6.9 -1.0
5.9 -7.1 -1.1
6.0 -7.2 -1.1
6.1 -7.3 -1.2
6.2 -7.5 -1.2
6.3 -7.6 -1.2
6.4 -7.8 -1.3
6.5 -7.9 -1.3
6.6 -8.0 -1.4
6.7 -8.2 -1.4
6.9 -8.3 -1.4
7.0 -8.4 -1.5
7.1 -8.5 -1.5
7.3 -8.7 -1.6
7.4 -8.8 -1.6
7.5 -8.9 -1.7
7.7 -9.0 -1.7
7.8 -9.1 -1.7
8.0 -9.2 -1.8
8.1 -9.3 -1.8
8.3 -9.4 -1.9
8.4 -9.5 -1.9
8.6 -9.6 -1.9
8.7 -9.7 -2.0
8.9 -9.8 -2.0
9.0 -9.8 -2.1
9.2 -9.9 -2.1
9.3 -10.0 -2.2
9.5 -10.1 -2.2
9.6 -10.1 -2.2
9.7 -10.2 -2.3
9.9 -10.3 -2.3
10.0 -10.3 -2.4
10.1 -10.4 -2.4
10.3 -10.4 -2.4
10.4 -10.5 -2.5
10.5 -10.5 -2.5
10.7 -10.6 -2.6
10.8 -10.6 -2.6
10.9 -10.7 -2.6
11.0 -10.7 -2.7
11.1 -10.7 -2.7
11.2 -10.7 -2.8
11.3 -10.8 -2.8
11.4 -10.8 -2.8
11.5 -10.8 -2.9
11.6 -10.8 -2.9
11.7 -10.8 -2.9
11.8 -10.8 -3.0
11.9 -10.8 -3.0
12.1 -10.8 -3.0
12.2 -10.8 -3.1
12.3 -10.8 -3.1
12.4 -10.8 -3.1
12.5 -10.8 -3.2
12.6 -10.8 -3.2
12.7 -10.8 -3.2
12.8 -10.7 -3.3
12.9 -10.7 -3.3
13.0 -10.7 -3.3
13.1 -10.6 -3.3
13.3 -10.6 -3.4
13.4 -10.6 -3.4
13.5 -10.5 -3.4
13.7 -10.5 -3.4
13.8 -10.4 -3.4
13.9 -10.4 -3.5
14.0 -10.3 -3.5
14.2 -10.3 -3.5
14.3 -10.2 -3.5
14.4 -10.1 -3.5
14.6 -10.1 -3.5
14.7 -10.0 -3.6
14.9 -9.9 -3.6
15.0 -9.8 -3.6
15.1 -9.8 -3.6
15.3 -9.7 -3.6
15.4 -9.6 -3.6
15.5 -9.5 -3.6
15.6 -9.4 -3.6
15.8 -9.3 -3.6
15.9 -9.2 -3.6
16.0 -9.1 -3.6
16.1 -9.0 -3.6
16.2 -8.9 -3.6
16.4 -8.8 -3.6
16.5 -8.7 -3.6
16.6 -8.5 -3.6
16.7 -8.4 -3.6
16.8 -8.3 -3.6
16.9 -8.2 -3.6
17.0 -8.1 -3.6
17.1 -7.9 -3.6
17.2 -7.8 -3.5
17.3 -7.7 -3.5
17.3 -7.5 -3.5
17.4 -7.4 -3.5
17.5 -7.2 -3.5
17.6 -7.1 -3.5
17.7 -7.0 -3.4
17.8 -6.8 -3.4
17.9 -6.7 -3.4
18.0 -6.5 -3.4
18.1 -6.3 -3.4
18.2 -6.2 -3.3
18.3 -6.0 -3.3
18.4 -5.9 -3.3
18.5 -5.7 -3.2
18.6 -5.5 -3.2
18.7 -5.4 -3.2
18.8 -5.2 -3.1
18.9 -5.0 -3.1
19.0 -4.9 -3.1
19.1 -4.7 -3.0
19.2 -4.5 -3.0
19.3 -4.4 -3.0
19.5 -4.2 -2.9
19.6 -4.0 -2.9
19.7 -3.8 -2.8
19.8 -3.6 -2.8
19.9 -3.5 -2.7
20.1 -3.3 -2.7
20.2 -3.1 -2.6
20.3 -2.9 -2.6
20.4 -2.7 -2.5
20.5 -2.5 -2.5
20.7 -2.3 -2.4
20.8 -2.1 -2.4
20.9 -2.0 -2.3
21.0 -1.8 -2.3
21.1 -1.6 -2.2
21.2 -1.4 -2.2
21.3 -1.2 -2.1
21.4 -1.0 -2.0
21.6 -0.8 -2.0
21.7 -0.6 -1.9
21.8 -0.4 -1.8
21.9 -0.2 -1.8
22.0 -0.0 -1.7
22.0 0.2 -1.7
22.1 0.4 -1.6
22.2 0.6 -1.5
22.3 0.8 -1.5
22.4 1.0 -1.4
22.5 1.2 -1.3
22.6 1.4 -1.2
22.7 1.6 -1.2
22.8 1.8 -1.1
22.9 2.0 -1.0
23.0 2.1 -1.0
23.1 2.3 -0.9
23.1 2.5 -0.8
23.2 2.7 -0.7
23.3 2.9 -0.7
23.4 3.1 -0.6
23.5 3.3 -0.5
23.6 3.5 -0.4
23.7 3.7 -0.3
23.8 3.9 -0.3
23.9 4.1 -0.2
24.1 4.3 -0.1
24.2 4.5 -0.0
24.3 4.6 0.1
24.4 4.8 0.1
24.5 5.0 0.2
24.6 5.2 0.3
